name,salary_from,salary_to,salary_currency,area_name,published_at
Руководитель ИТ-проектов,,,,Москва,2022-12-22T08:43:47+0300
Руководитель офиса управления НИОКР,,,,Санкт-Петербург,2022-12-22T08:47:49+0300
Инженер-программист КГКУ "УСЗН" (Ленинский район),45000,,RUR,Красноярск,2022-12-22T06:52:43+0300
Технический директор,40000,80000,RUR,Уфа,2022-12-22T07:31:59+0300
Технический специалист,4000000,5000000,UZS,Ташкент,2022-12-22T08:44:21+0300
Журналист-копирайтер,5000000,,UZS,Ташкент,2022-12-22T07:11:16+0300
Механик,,,,Уфа,2022-12-22T08:09:35+0300
Разработчик БД MS SQL,109344,275381,RUR,Красноярск,2022-12-22T06:36:35+0300
Проектный менеджер(Project-менеджер),70000,,RUR,Екатеринбург,2022-12-22T07:10:35+0300
Персональный ассистент руководителя,200000,,KZT,Петропавловск,2022-12-22T06:23:00+0300
Механик на производство,45000,,RUR,Слободской,2022-12-22T08:20:13+0300
Механик по ремонту,143000,147000,RUR,Краснодар,2022-12-22T08:06:07+0300
Системный администратор,,,,Челябинск,2022-12-22T06:41:29+0300
Механик по ремонту,143000,147000,RUR,Самара,2022-12-22T08:05:52+0300
Аналитик ресурсов на тему разработки,,65000,RUR,Москва,2022-12-22T08:54:28+0300
|Специалист по ремонту и обслуживанию холодильного, вентиляционного и теплового оборудования|,300000,300000,RUR,Улан-Удэ,2022-12-22T07:06:03+0300
Frontend-разработчик Vue (junior),40000,63000,RUR,Барнаул,2022-12-22T07:19:56+0300
Оператор листогибочного пресса,65000,75000,RUR,Москва,2022-12-22T08:57:57+0300
Оператор станков с ЧПУ,45000,,RUR,Самара,2022-12-22T06:56:53+0300
Аналитик ресурсов на тему разработки,,65000,RUR,Санкт-Петербург,2022-12-22T08:54:31+0300
Директор по информационным технологиям / IT Директор,180000,250000,RUR,Екатеринбург,2022-12-22T08:56:32+0300
Системный администратор,40000,,RUR,Барнаул,2022-12-22T06:04:33+0300
Веб-дизайнер,,,,Владивосток,2022-12-22T07:27:01+0300
Инженер по информационным технологиям,,,,Чита,2022-12-22T08:04:31+0300
Инженер по информационным технологиям,,,,Улан-Удэ,2022-12-22T08:04:31+0300
Механик по ремонту,143000,147000,RUR,Омск,2022-12-22T08:06:03+0300
Инженер по описанию и моделированию бизнес-процессов (группа СМК),,,,Пермь,2022-12-22T08:09:21+0300
Наладчик КИПиА,47500,,RUR,Самара,2022-12-22T08:55:43+0300
Программист/разработчик ABAP,,,,Москва,2022-12-22T08:46:55+0300
Аналитик,130000,130000,KZT,Астана,2022-12-22T06:58:52+0300
Начальник автоколонны,60000,,RUR,Казань,2022-12-22T08:57:18+0300
Оператор станка с ЧПУ,40000,,RUR,Томск,2022-12-22T08:12:37+0300
Наладчик станков с ЧПУ,50000,,RUR,Самара,2022-12-22T07:50:47+0300
IOS разработчик,,,,Петрозаводск,2022-12-22T08:10:51+0300
Python-developer,100000,215000,RUR,Санкт-Петербург,2022-12-22T07:58:28+0300
Технический директор проектной организации,90000,120000,RUR,Сочи,2022-12-22T08:25:34+0300
Механик цеха,35000,40000,RUR,Саратов,2022-12-22T07:15:03+0300
Ведущий специалист группы действующей связи,30000,,RUR,Кемерово,2022-12-22T06:33:36+0300
Руководитель сервисного центра,100000,,RUR,Набережные Челны,2022-12-22T08:18:27+0300
Инженер технической поддержки,35000,,RUR,Красноярск,2022-12-22T06:42:09+0300
Менеджер проектов в ИТ компанию,30000,,RUR,Челябинск,2022-12-22T08:00:54+0300
Системный администратор,150000,150000,RUR,Москва,2022-12-22T08:32:22+0300
Токарь,2100,2500,BYR,Минск,2022-12-22T07:58:25+0300
Главный специалист отдела информационной безопасности,71000,76000,RUR,Тюмень,2022-12-22T06:55:05+0300
Системный аналитик,67400,67400,RUR,Кемерово,2022-12-22T06:27:11+0300
Программист 1C,1000,1500,USD,Бишкек,2022-12-22T07:40:57+0300
Системный аналитик,,,,Новосибирск,2022-12-22T06:10:22+0300
Руководитель проекта CRM Битрикс24,120000,120000,RUR,Москва,2022-12-22T08:21:51+0300
Художник-дизайнер,44000,,RUR,Ярославль,2022-12-22T08:10:07+0300
Middle Java Developer,,250000,RUR,Санкт-Петербург,2022-12-22T08:47:59+0300
Специалист поддержки систем электронного документооборота,,,,Красноярск,2022-12-22T07:24:30+0300
Наладчик оборудования (без опыта работы),40000,,RUR,Березовский (Свердловская область),2022-12-22T07:16:25+0300
Механик,40000,40000,RUR,Михайловка (Волгоградская область),2022-12-22T06:02:49+0300
Монтажник РЭА,45000,,RUR,Новосибирск,2022-12-22T08:12:03+0300
Аналитик клиентского опыта,,,,Самара,2022-12-22T08:09:04+0300
Токарь,80000,,RUR,Челябинск,2022-12-22T06:10:21+0300
Руководитель направления борьбы с БПЛА,,,,Москва,2022-12-22T08:05:11+0300
Инженер по автоматизированным системам управления на производстве,,,,Петрозаводск,2022-12-22T08:42:07+0300
Фрезеровщик,35000,40000,RUR,Томск,2022-12-22T06:38:07+0300
Главный специалист по сетевому оборудованию,,,,Пенза,2022-12-22T07:13:37+0300
Инженер-программист КГКУ "УСЗН" (по Железнодорожному району),45000,,RUR,Красноярск,2022-12-22T06:55:43+0300
Сверловщик,45000,,RUR,Новосибирск,2022-12-22T08:24:58+0300
Специалист технической поддержки (системный администратор),30000,,RUR,Новосибирск,2022-12-22T07:35:37+0300
Менеджер проектов веб-разработки,40000,70000,RUR,Ижевск,2022-12-22T07:56:37+0300
Креативный копирайтер в офис,80000,,RUR,Новосибирск,2022-12-22T06:29:38+0300
Senior/Middle Java Developer (remote),,300000,RUR,Москва,2022-12-22T07:59:06+0300
Архитектор АСУТП-MES-BI,,,,Москва,2022-12-22T07:13:35+0300
Программист C/С++ (middle/senior),,,,Челябинск,2022-12-22T08:00:46+0300
Инженер 2 линии технической поддержки,,,,Нижний Новгород,2022-12-22T08:07:53+0300
Инженер SharePoint,,,,Москва,2022-12-22T08:50:36+0300
Наладчик пищевого оборудования,60000,,RUR,Новосибирск,2022-12-22T06:50:38+0300
Фрезеровщик,50000,,RUR,Челябинск,2022-12-22T06:22:58+0300
Аналитик-разработчик,,,,Санкт-Петербург,2022-12-22T07:26:17+0300
Механик по ремонту основного и вспомогательного технологического (пищевого) оборудования,100000,110000,RUR,Москва,2022-12-22T08:08:59+0300
Mobile-разработчик,,,,Челябинск,2022-12-22T08:00:57+0300
Вальцовщик,50000,,RUR,Челябинск,2022-12-22T07:26:12+0300
Монтажник связи,40000,,RUR,Челябинск,2022-12-22T06:32:50+0300
Рабочий по комплексному обслуживанию зданий,35000,,RUR,Южно-Сахалинск,2022-12-22T08:39:15+0300
Инженер,60000,,RUR,Пермь,2022-12-22T07:55:10+0300
Программист 1C,,160000,RUR,Владивосток,2022-12-22T07:30:06+0300
Техник-электромеханик,,,,Нижний Новгород,2022-12-22T08:03:41+0300
Сервисный инженер / мастер по ремонту ПК (Системный администратор),80000,87000,RUR,Владивосток,2022-12-22T07:09:47+0300
Специалист в отдел информационных систем,45000,,RUR,Салехард,2022-12-22T07:42:34+0300
Директор департамента информационных технологий,,,,Красноярск,2022-12-22T07:29:59+0300
Специалист по подключению интернета,,50000,RUR,Сковородино,2022-12-22T06:09:36+0300
Инженер технической поддержки (1 линия),,,,Новосибирск,2022-12-22T08:10:43+0300
Аналитик хоккейных матчей,,,,Ташкент,2022-12-22T07:25:56+0300
Системный администратор на производство,50000,,RUR,Новосибирск,2022-12-22T08:11:58+0300
Оператор станка с ЧПУ,45000,,RUR,Челябинск,2022-12-22T06:48:18+0300
Дизайнер-верстальщик,,,,Киров (Кировская область),2022-12-22T08:15:03+0300
Дизайнер мебели по индивидуальным проектам,160000,,KZT,Кокшетау,2022-12-22T06:43:11+0300
Программист-разработчик C#,,,,Санкт-Петербург,2022-12-22T08:56:45+0300
Инженер по КИПиА,50000,,RUR,Борисовка,2022-12-22T08:48:17+0300
Токарь-карусельщик,,,,Челябинск,2022-12-22T06:48:07+0300
Middle/Senior QA Engineer (Core Data Platform Team),,,,Кипр,2022-12-22T08:03:10+0300
Механик по выпуску автотранспорта,,147000,RUR,Краснодар,2022-12-22T08:06:35+0300
Механик по выпуску автотранспорта,,147000,RUR,Уфа,2022-12-22T08:06:23+0300
Токарь,100000,,RUR,Екатеринбург,2022-12-22T08:47:06+0300
Механик по выпуску автотранспорта,,147000,RUR,Оренбург,2022-12-22T08:06:31+0300
Старший системный аналитик,,,,Москва,2022-12-22T06:53:51+0300
Продакт-менеджер,,,,Томск,2022-12-22T07:47:15+0300
Рабочий по комплексному обслуживанию зданий,15300,15300,RUR,Иваново (Ивановская область),2022-12-22T08:34:20+0300
Оператор станков с ЧПУ / Фрезеровщик на Fanuc,,70000,RUR,Санкт-Петербург,2022-12-22T08:37:46+0300
Механик по ремонту,143000,147000,RUR,Оренбург,2022-12-22T08:05:58+0300
Системный администратор,50000,,RUR,Белгород,2022-12-22T08:10:50+0300
Аналитик Qlik View / Qlik Sense в Управление экономики корпоративного бизнеса,,,,Санкт-Петербург,2022-12-22T08:55:05+0300
Специалист по техническим средствам и средствам связи,50000,,RUR,Кемерово,2022-12-22T06:27:15+0300
Инженер MS SQL,,,,Санкт-Петербург,2022-12-22T08:50:36+0300
Начальник транспортного отдела,,47000,RUR,Тула,2022-12-22T08:51:30+0300
Инженер MS SQL,,,,Москва,2022-12-22T08:50:36+0300
|Специалист по ремонту и обслуживанию холодильного, вентиляционного и теплового оборудования|,300000,300000,RUR,Иркутск,2022-12-22T07:04:00+0300
Оператор станка с ЧПУ (постоянный набор),35000,70000,RUR,Новомосковск (Тульская область),2022-12-22T08:15:54+0300
Копирайтер (написание продающих текстов),,,,Улан-Удэ,2022-12-22T07:05:24+0300
Механик по вентиляции,65000,,RUR,Москва,2022-12-22T08:08:54+0300
Рабочий по комплексному обслуживанию зданий и помещений,17571,18000,RUR,Миасс,2022-12-22T07:30:30+0300
Механизатор,45000,,RUR,Камень-Рыболов,2022-12-22T07:43:55+0300
Токарь,47000,,RUR,Новосибирск,2022-12-22T08:25:03+0300
Бизнес-аналитик,65000,85000,RUR,Челябинск,2022-12-22T07:14:04+0300
Техник по комплексному обслуживанию и ремонту зданий,60000,,RUR,Кемерово,2022-12-22T07:27:55+0300
Продакт-менеджер,,,,Москва,2022-12-22T08:29:37+0300
Наладчик станков с ЧПУ,,,,Ижевск,2022-12-22T08:24:37+0300
Административный менеджер,,52000,RUR,Самара,2022-12-22T08:25:12+0300
Программист 1C,,160000,RUR,Вольно-Надеждинское,2022-12-22T07:30:06+0300
Токарь,100000,,RUR,Самара,2022-12-22T08:47:06+0300
Системный аналитик (кредитное направление),,,,Хабаровск,2022-12-22T06:17:49+0300
Frontend-разработчик (Angular),,,,Новосибирск,2022-12-22T06:10:22+0300
Механик по ремонту,143000,147000,RUR,Уфа,2022-12-22T08:05:55+0300
Токарь,100000,,RUR,Нижний Новгород,2022-12-22T08:47:06+0300
Токарь-расточник,50000,60000,RUR,Томск,2022-12-22T06:38:30+0300
Главный специалист ИУС (1С:Предприятие),,,,Санкт-Петербург,2022-12-22T08:57:14+0300
Инженер-электронщик,80000,,RUR,Новокузнецк,2022-12-22T08:03:02+0300
Консультант по автоматизации процесса система учета СиЗ,300000,,KZT,Алматы,2022-12-22T08:51:53+0300
Шеф-редактор (Отдел "Культура и стиль жизни"),,,,Москва,2022-12-22T08:49:52+0300
Сервисный инженер по работе с тепловым оборудованием,100000,,RUR,Москва,2022-12-22T08:08:57+0300
Специалист по информационной безопасности,60000,,RUR,Кемерово,2022-12-22T06:27:03+0300
Системный аналитик,,,,Москва,2022-12-22T08:04:51+0300
DBA MS SQL Server,,,,Москва,2022-12-22T08:50:36+0300
DevOps-инженер,50000,,RUR,Челябинск,2022-12-22T07:39:34+0300
Инженер-наладчик,80000,,RUR,Новокузнецк,2022-12-22T08:03:02+0300
Инженер по координации (Сервисный отдел),50000,80000,RUR,Новосибирск,2022-12-22T06:13:37+0300
Инженер по тестированию (backend),,,,Новосибирск,2022-12-22T06:10:21+0300
Начальник службы АСУТП и информационно-технического обеспечения,100000,,RUR,Северск (Томская область),2022-12-22T07:29:54+0300
Журналист-копирайтер,,,,Улан-Удэ,2022-12-22T07:06:07+0300
Главный специалист,19000,24000,RUR,Краснообск,2022-12-22T07:08:38+0300
Копирайтер,,,,Ташкент,2022-12-22T07:33:06+0300
Сервисный инженер ПНР (КОМАНДИРОВКИ),70000,90000,RUR,Новосибирск,2022-12-22T06:13:33+0300
Монтажник связи,30000,80000,RUR,Верхняя Пышма,2022-12-22T06:32:41+0300
Программист 1C,,160000,RUR,Артем,2022-12-22T07:30:06+0300
Инженер-электроник,,,,Псков,2022-12-22T08:52:27+0300
Наладчик фрезерных станков с ЧПУ,70000,,RUR,Киров (Кировская область),2022-12-22T08:44:33+0300
Токарь-универсал,35000,,RUR,Омск,2022-12-22T07:39:35+0300
Инженер-механик,105000,120000,RUR,Омск,2022-12-22T06:42:56+0300
Рабочий по комплексному обслуживанию зданий,15000,16000,RUR,Миасс,2022-12-22T08:23:37+0300
Специалист отдела сопровождения ПО,26000,40000,RUR,Барнаул,2022-12-22T07:19:56+0300
Оператор станков с ЧПУ,50000,60000,RUR,Екатеринбург,2022-12-22T06:20:30+0300
Бизнес-аналитик,,,,Москва,2022-12-22T08:36:42+0300
Middle/Senior DevOps Engineer,,,,Москва,2022-12-22T06:52:26+0300
|Инженер по диагностике технического состояния автомобилей, ДСМ и механизмов|,,147000,RUR,Краснодар,2022-12-22T08:05:41+0300
Токарь,40000,,RUR,Вологда,2022-12-22T07:51:13+0300
Инженер по тестированию (mobile),,,,Новосибирск,2022-12-22T06:10:22+0300
Наладчик роботов,,,,Челябинск,2022-12-22T06:47:37+0300
Разработчик Directum,,,,Екатеринбург,2022-12-22T07:13:36+0300
Токарь-универсал,45000,,RUR,Томск,2022-12-22T06:38:44+0300
Токарь-универсал 5-6 разряда,70000,,RUR,Новокузнецк,2022-12-22T07:05:36+0300
Инженер по эксплуатации и безопасности дорожного движения,,,,Ростов (Ярославская область),2022-12-22T07:58:01+0300
Токарь-универсал,45000,,RUR,Челябинск,2022-12-22T06:48:15+0300
Механик на производство,45000,,RUR,Киров (Кировская область),2022-12-22T08:19:19+0300
Фрезеровщик-универсал,60000,70000,RUR,Санкт-Петербург,2022-12-22T08:37:18+0300
